"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1461,412,829,127,402,256,339,"3650:00",202,229,1526,485,303
"Baskonia Vitoria GasteizBAS",1417,365,682,144,371,255,327,"3400:00",238,168,1445,401,304
"Brose BambergBAM",1105,284,542,132,339,141,192,"3000:00",200,110,1154,366,261
"Crvena Zvezda mts BelgradeRED",1078,294,599,102,326,184,236,"3000:00",168,140,1169,393,229
"CSKA MoscowCSK",1424,361,664,145,372,267,337,"3424:16",248,152,1351,397,335
"Darussafaka Dogus IstanbulDAR",1370,330,692,153,421,251,344,"3425:00",173,217,1438,431,221
"EA7 Emporio Armani MilanMIL",1191,331,631,106,288,211,280,"3025:00",221,150,1340,344,262
"FC Barcelona LassaBAR",1023,246,519,129,348,144,198,"3025:00",239,139,1117,356,242
"Fenerbahce IstanbulULK",1278,313,617,151,382,199,267,"3425:00",208,152,1280,394,278
"Galatasaray Odeabank IstanbulGAL",1095,289,585,131,336,124,180,"3000:00",193,126,1210,387,265
"Maccabi FOX Tel AvivTEL",1176,316,624,122,316,178,239,"3025:00",218,138,1284,373,252
"Olympiacos PiraeusOLY",1448,339,685,180,470,230,312,"3825:00",238,204,1461,455,298
"Panathinaikos Superfoods AthensPAN",1178,281,568,151,421,163,219,"3250:00",192,150,1225,410,257
"Real MadridMAD",1499,387,681,164,461,233,294,"3600:00",224,211,1432,401,352
"Unics KazanUNK",1121,296,614,103,288,220,286,"3000:00",195,173,1233,354,215
"Zalgiris KaunasZAL",1219,294,566,133,316,232,289,"3000:00",196,156,1217,307,279
