"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1154,332,651,102,292,184,247,"3000:00",182,167,1292,365,212
"AX Armani Exchange Olimpia MilanMIL",1195,308,555,125,350,204,275,"3050:00",171,125,1268,366,237
"Brose BambergBAM",1124,265,536,120,318,234,293,"3000:00",196,123,1259,361,236
"Crvena Zvezda mts BelgradeRED",1120,274,560,124,366,200,279,"3000:00",187,170,1315,377,218
"CSKA MoscowCSK",1299,369,642,116,307,213,270,"3000:00",170,144,1195,337,243
"FC Barcelona LassaBAR",1228,304,553,143,360,191,256,"3000:00",183,138,1257,347,320
"Fenerbahce Dogus IstanbulULK",1204,292,554,137,305,209,260,"3050:00",179,135,1127,304,288
"Khimki Moscow RegionKHI",1180,268,516,151,423,191,248,"3000:00",164,158,1215,372,273
"KIROLBET Baskonia Vitoria GasteizBAS",1204,312,565,143,351,151,200,"3000:00",199,141,1203,332,284
"Maccabi FOX Tel AvivTEL",1210,354,688,104,288,190,269,"3000:00",174,174,1315,375,266
"Olympiacos PiraeusOLY",1081,251,516,120,349,219,290,"3075:00",212,150,1169,350,235
"Panathinaikos Superfoods AthensPAN",1110,290,542,119,376,173,259,"3025:00",189,169,1198,370,208
"Real MadridMAD",1272,309,552,149,403,207,259,"3025:00",164,155,1229,352,280
"Unicaja MalagaMAL",1165,291,585,130,355,193,266,"3025:00",196,183,1278,355,274
"Valencia BasketPAM",1141,250,518,143,348,212,252,"3000:00",173,124,1269,351,260
"Zalgiris KaunasZAL",1224,343,632,108,249,214,280,"3075:00",223,136,1223,312,282
