"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1353,74.1,"52.93%",1.08,112.8,108,-4.8,"48.94%","49.70%","31.59%",1231
"Baskonia Vitoria GasteizBAS",1267,74.5,"59.20%",1.12,114,111.8,-2.2,"55.18%","53.52%","38.81%",1053
"Brose BambergBAM",1055,70.3,"57.23%",1.05,109.4,104.7,-4.7,"54.71%","52.40%","38.94%",881
"Crvena Zvezda mts BelgradeRED",1057,70.5,"52.39%",1.02,110.6,102,-8.6,"48.32%","49.08%","31.29%",925
"CSKA MoscowCSK",1280,74.8,"60.12%",1.11,105.5,111.2,5.7,"55.84%","54.37%","38.98%",1036
"Darussafaka Dogus IstanbulDAR",1220,71.2,"54.18%",1.12,117.9,112.3,-5.6,"50.27%","47.69%","36.34%",1113
"EA7 Emporio Armani MilanMIL",1113,73.6,"57.14%",1.07,120.4,107,-13.4,"53.32%","52.46%","36.81%",919
"FC Barcelona LassaBAR",1054,69.7,"53.61%",0.97,106,97.1,-8.9,"50.69%","47.40%","37.07%",867
"Fenerbahce IstanbulULK",1172,68.4,"57.23%",1.09,109.2,109,-0.2,"54.00%","50.73%","39.53%",999
"Galatasaray Odeabank IstanbulGAL",1067,71.1,"54.74%",1.03,113.4,102.6,-10.8,"52.71%","49.40%","38.99%",921
"Maccabi FOX Tel AvivTEL",1125,74.4,"56.26%",1.05,114.1,104.5,-9.6,"53.09%","50.64%","38.61%",940
"Olympiacos PiraeusOLY",1326,69.3,"56.03%",1.09,110.2,109.2,-1,"52.73%","49.49%","38.30%",1155
"Panathinaikos Superfoods AthensPAN",1127,69.4,"54.27%",1.05,108.7,104.5,-4.2,"51.31%","49.47%","35.87%",989
"Real MadridMAD",1284,71.3,"58.95%",1.17,111.5,116.7,5.2,"55.43%","56.83%","35.57%",1142
"Unics KazanUNK",1050,70,"54.53%",1.07,117.4,106.8,-10.6,"49.94%","48.21%","35.76%",902
"Zalgiris KaunasZAL",1049,69.9,"60.40%",1.16,116,116.2,0.2,"55.95%","51.94%","42.09%",882
