"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",2614,70.6,"62.45%",1.2,112.2,120,7.8,"59.21%","58.04%","40.57%",2274
"AX Armani Exchange Olimpia MilanMIL",2201,73.1,"59.77%",1.19,118.8,118.9,0.1,"54.97%","52.85%","38.69%",1902
"Buducnost VOLI PodgoricaBUD",2118,70.6,"54.13%",1.05,120.4,105.3,-15.1,"51.21%","48.18%","38.12%",1866
"CSKA MoscowCSK",2584,71.5,"60.70%",1.21,111.7,121,9.3,"55.79%","52.93%","40.75%",2229
"Darussafaka Tekfen IstanbulDAR",2174,72.5,"53.52%",1.03,118.5,102.9,-15.6,"49.79%","51.05%","31.55%",1868
"FC Barcelona LassaBAR",2451,69.8,"56.87%",1.12,109.8,111.5,1.7,"53.38%","52.44%","36.72%",2128
"FC Bayern MunichMUN",2097,69.3,"59.38%",1.13,115.6,113.1,-2.5,"55.83%","55.18%","37.95%",1775
"Fenerbahce Beko IstanbulULK",2463,67.7,"64.22%",1.22,110.6,121.8,11.2,"60.65%","58.33%","42.79%",2066
"Herbalife Gran CanariaCAN",2212,73.4,"54.73%",1.05,119,105.4,-13.6,"51.29%","51.33%","34.15%",1900
"Khimki Moscow RegionKHI",2120,70.4,"56.99%",1.11,115.8,110.6,-5.2,"53.47%","54.38%","34.96%",1843
"KIROLBET Baskonia Vitoria-GasteizBAS",2462,72.1,"57.70%",1.12,110.8,112.2,1.4,"54.00%","53.97%","36.03%",2112
"Maccabi FOX Tel AvivTEL",2152,71.7,"55.11%",1.1,109,110.4,1.4,"52.39%","53.66%","33.64%",1947
"Olympiacos PiraeusOLY",2109,70,"56.94%",1.11,109.4,110.8,1.4,"53.21%","53.33%","35.32%",1807
"Panathinaikos OPAP AthensPAN",2379,71.8,"55.07%",1.1,109.2,109.5,0.3,"52.13%","53.65%","32.46%",2112
"Real MadridMAD",2546,72.7,"60.36%",1.18,107.2,118,10.8,"56.75%","56.72%","37.85%",2201
"Zalgiris KaunasZAL",2373,69,"59.68%",1.12,112.8,111.9,-0.9,"54.40%","53.27%","38.05%",1909
