"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1067,71.1,"54.86%",1.08,121.1,108.2,-12.9,"51.43%","51.00%","34.93%",943
"AX Armani Exchange Olimpia MilanMIL",1072,70.3,"58.24%",1.11,118.3,111.5,-6.8,"54.75%","55.50%","35.71%",905
"Brose BambergBAM",1056,70.4,"57.18%",1.06,119.2,106.4,-12.8,"52.11%","49.44%","37.74%",854
"Crvena Zvezda mts BelgradeRED",1066,71.1,"53.40%",1.05,123.4,105.1,-18.3,"49.68%","48.93%","33.88%",926
"CSKA MoscowCSK",1094,72.9,"60.83%",1.19,109.2,118.7,9.5,"57.22%","57.48%","37.79%",949
"FC Barcelona LassaBAR",1071,71.4,"59.87%",1.15,117.4,114.7,-2.7,"56.79%","54.97%","39.72%",913
"Fenerbahce Dogus IstanbulULK",1017,66.7,"61.85%",1.18,110.8,118.4,7.6,"57.92%","52.71%","44.92%",859
"Khimki Moscow RegionKHI",1054,70.3,"56.29%",1.12,115.3,112,-3.3,"52.66%","51.94%","35.70%",939
"KIROLBET Baskonia Vitoria GasteizBAS",1062,70.8,"59.96%",1.13,113.3,113.4,0.1,"57.48%","55.22%","40.74%",916
"Maccabi FOX Tel AvivTEL",1094,72.9,"55.28%",1.11,120.2,110.6,-9.6,"52.25%","51.45%","36.11%",976
"Olympiacos PiraeusOLY",1055,68.6,"54.45%",1.02,110.8,102.5,-8.3,"49.83%","48.64%","34.38%",865
"Panathinaikos Superfoods AthensPAN",1052,69.6,"53.78%",1.06,113.9,105.5,-8.4,"51.03%","53.51%","31.65%",918
"Real MadridMAD",1078,71.3,"59.50%",1.18,114,118,4,"55.76%","55.98%","36.97%",955
"Unicaja MalagaMAL",1070,70.7,"55.11%",1.09,119.4,108.9,-10.5,"51.70%","49.74%","36.62%",940
"Valencia BasketPAM",1026,68.4,"58.40%",1.11,123.7,111.2,-12.5,"53.64%","48.26%","41.09%",866
"Zalgiris KaunasZAL",1091,71,"60.94%",1.12,112.1,112.2,0.1,"57.32%","54.27%","43.37%",881
