"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1274,73.9,"55.06%",1.11,107.1,110.6,3.5,"51.51%","50.34%","35.84%",1126
"Baskonia Vitoria GasteizBAS",1192,74.5,"54.64%",1.08,100.9,108.1,7.2,"51.27%","53.07%","32.14%",1059
"Brose BambergBAM",1090,71.5,"62.84%",1.19,117.1,118.5,1.4,"59.08%","57.19%","41.34%",914
"Crvena Zvezda mts BelgradeRED",1081,71.5,"55.15%",1.05,95.7,104.6,8.9,"51.60%","51.05%","35.17%",907
"CSKA MoscowCSK",1349,74.4,"64.27%",1.21,107.3,121.5,14.2,"58.26%","55.90%","41.67%",1071
"Darussafaka Dogus IstanbulDAR",1200,70.6,"56.17%",1.1,105.7,110.1,4.4,"52.42%","50.16%","37.28%",1035
"EA7 Emporio Armani MilanMIL",1120,74.7,"55.76%",1.1,114.4,109.9,-4.5,"51.65%","52.45%","33.33%",970
"FC Barcelona LassaBAR",1047,69.8,"56.72%",1.07,107.4,106.8,-0.6,"53.10%","49.60%","38.59%",872
"Fenerbahce IstanbulULK",1245,68.7,"59.70%",1.13,104.2,112.6,8.4,"55.65%","52.60%","40.41%",1026
"Galatasaray Odeabank IstanbulGAL",1073,71.5,"58.97%",1.16,117.9,116.5,-1.4,"56.12%","52.30%","41.91%",956
"Maccabi FOX Tel AvivTEL",1084,72.3,"58.29%",1.07,113,107.5,-5.5,"55.52%","53.26%","39.87%",888
"Olympiacos PiraeusOLY",1304,72.4,"54.11%",1.09,97.6,108.5,10.9,"49.56%","51.65%","30.56%",1135
"Panathinaikos Superfoods AthensPAN",1215,69.9,"55.21%",1.1,102,110.5,8.5,"51.93%","51.61%","34.91%",1064
"Real MadridMAD",1329,73.8,"60.41%",1.18,106.6,118.2,11.6,"56.97%","55.96%","38.91%",1141
"Unics KazanUNK",1055,69.8,"57.80%",1.12,113,111.6,-1.4,"53.37%","51.90%","37.54%",906
"Zalgiris KaunasZAL",1042,69.5,"56.26%",1.09,112.7,108.5,-4.2,"52.60%","51.97%","35.83%",904
