"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",1137,74.6,"56.56%",1.13,108.3,112.8,4.5,"52.91%","50.54%","38.22%",997
"Baskonia Vitoria GasteizBAS",1108,73.9,"54.74%",1.08,100.5,108.3,7.8,"51.42%","53.80%","31.61%",986
"Brose BambergBAM",1090,71.5,"62.84%",1.19,117.1,118.5,1.4,"59.08%","57.19%","41.34%",914
"Crvena Zvezda mts BelgradeRED",1081,71.5,"55.15%",1.05,95.7,104.6,8.9,"51.60%","51.05%","35.17%",907
"CSKA MoscowCSK",1126,74.4,"65.00%",1.22,106,122.5,16.5,"59.47%","56.94%","42.55%",898
"Darussafaka Dogus IstanbulDAR",1059,70.6,"55.80%",1.1,103,109.7,6.7,"52.49%","49.12%","38.64%",922
"EA7 Emporio Armani MilanMIL",1120,74.7,"55.76%",1.1,114.4,109.9,-4.5,"51.65%","52.45%","33.33%",970
"FC Barcelona LassaBAR",1047,69.8,"56.72%",1.07,107.4,106.8,-0.6,"53.10%","49.60%","38.59%",872
"Fenerbahce IstanbulULK",1041,68.8,"58.78%",1.11,105.4,111.3,5.9,"54.96%","52.83%","39.06%",867
"Galatasaray Odeabank IstanbulGAL",1073,71.5,"58.97%",1.16,117.9,116.5,-1.4,"56.12%","52.30%","41.91%",956
"Maccabi FOX Tel AvivTEL",1084,72.3,"58.29%",1.07,113,107.5,-5.5,"55.52%","53.26%","39.87%",888
"Olympiacos PiraeusOLY",1087,72.5,"53.86%",1.08,96.6,107.6,11,"49.20%","52.32%","29.08%",941
"Panathinaikos Superfoods AthensPAN",1087,70.7,"55.66%",1.11,100.1,111.2,11.1,"52.42%","52.16%","35.19%",951
"Real MadridMAD",1119,74.6,"61.48%",1.2,104,119.6,15.6,"58.12%","56.68%","40.05%",961
"Unics KazanUNK",1055,69.8,"57.80%",1.12,113,111.6,-1.4,"53.37%","51.90%","37.54%",906
"Zalgiris KaunasZAL",1042,69.5,"56.26%",1.09,112.7,108.5,-4.2,"52.60%","51.97%","35.83%",904
