"Player","Games","Min","Ast.To","PPS","DRTG","ORTG","NRTG","TS.","USG.","ORB.","DRB.","TRB.","FGA","FGA2","FGA3","FGM2","FGM3","StlPer","AstPer","eFGPer","FloorPer","Season","Team"
"BALBAY, DOGUS",28,"275:12",3.11,0.95,109.37,111.78,2.41,0.46,11.53,8.91,8.08,8.52,57,34,23,16,7,3.39,15.81,46.49,49.8,"2016-2017","Anadolu Efes Istanbul"
"BROWN, DERRICK",35,"1025:03",1.4,1.26,109.86,111.9,2.04,0.56,20.24,6.03,16.26,10.77,340,282,58,150,17,1.93,13.31,51.62,54.02,"2016-2017","Anadolu Efes Istanbul"
"COTTON, BRYCE",10,"182:41",1.56,1.18,113.63,109.39,-4.24,0.55,21.11,1.17,9.46,5.01,68,36,32,17,12,1.5,13.48,51.47,46.67,"2016-2017","Anadolu Efes Istanbul"
"DUNSTON, BRYANT",35,"1013:26",1.12,1.47,110.9,122.52,11.62,0.59,16.15,10.52,14.26,12.25,254,253,1,140,0,1.14,6.2,55.12,62.44,"2016-2017","Anadolu Efes Istanbul"
"GRANGER, JAYSON",35,"890:59",2.45,1.13,112.43,106.74,-5.69,0.51,20.53,1.91,10.67,5.97,301,188,113,87,37,1.85,25.76,47.34,48.43,"2016-2017","Anadolu Efes Istanbul"
"HEURTEL, THOMAS",35,"920:07",2.21,1.2,114.06,108.26,-5.8,0.55,25.27,0.93,6.85,3.67,368,264,104,133,35,1.73,39.3,50.41,49.48,"2016-2017","Anadolu Efes Istanbul"
"HONEYCUTT, TYLER",35,"857:54",1.11,1.17,104.25,101.54,-2.71,0.5,20.93,8.58,26.92,17.07,274,165,109,77,33,2.56,13.62,46.17,47.34,"2016-2017","Anadolu Efes Istanbul"
"KIRK, ALEX",16,"159:38",0.56,1.32,110.28,111.16,0.88,0.57,16.71,13.36,12.38,12.9,41,40,1,22,0,0.34,5.31,53.66,56.03,"2016-2017","Anadolu Efes Istanbul"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"OMIC, ALEN",17,"140:06",0.78,1.25,114.59,103.32,-11.27,0.53,18.85,12.94,7.93,10.62,40,40,1,22,0,1.18,8.76,55,52.89,"2016-2017","Anadolu Efes Istanbul"
"OSMAN, CEDI",35,"649:20",1.37,1.16,111.79,111.75,-0.04,0.53,18.48,4.76,12.93,8.55,215,109,106,52,36,1.77,6.77,49.3,48.98,"2016-2017","Anadolu Efes Istanbul"
"PAUL, BRANDON",23,"398:03",0.81,1.35,109.83,111.42,1.59,0.57,22.63,0.8,6.21,3.31,147,53,94,18,39,3.31,5.59,52.04,47.48,"2016-2017","Anadolu Efes Istanbul"
"THOMAS, DESHAUN",35,"501:50",0.8,1.13,114.94,109.9,-5.04,0.53,24.12,4.46,9.35,6.73,226,98,128,50,42,0.87,4.4,50,46.83,"2016-2017","Anadolu Efes Istanbul"
"ABASS, AWUDU",23,"368:32",0.8,1.3,120.2,112.01,-8.19,0.57,13.83,5.42,9.16,7.23,81,43,38,18,16,1.34,5.17,51.85,48.6,"2016-2017","EA7 Emporio Armani Milan"
"0",0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
"CINCIARINI, ANDREA",23,"425:14",2,1.26,118.31,107.2,-11.11,0.54,16.09,3.04,12.93,7.84,101,73,28,39,7,1.93,19.14,49.01,51.55,"2016-2017","EA7 Emporio Armani Milan"
"DRAGIC, ZORAN",23,"441:53",0.65,1.18,119.7,102.52,-17.18,0.53,19.14,5.59,8.2,6.86,137,83,54,45,16,1.86,6.58,50.36,47.33,"2016-2017","EA7 Emporio Armani Milan"
"FONTECCHIO, SIMONE",10,"117:23",1.6,1.1,118.1,0,0,0.55,14.2,6.01,9.58,7.74,30,13,17,6,7,2.33,11.14,55,0,"2016-2017","EA7 Emporio Armani Milan"
"GENTILE, ALESSANDRO",9,"205:46",1.1,1.17,117.42,96.7,-20.72,0.5,27.1,6.86,9.11,7.95,83,69,14,35,3,2.66,19.88,47.59,48.46,"2016-2017","EA7 Emporio Armani Milan"
"HICKMAN, RICKY",30,"749:21",1.45,1.27,119.38,102.6,-16.78,0.54,22.34,2.04,10.68,6.23,238,129,109,54,38,1.83,22.26,46.64,46.01,"2016-2017","EA7 Emporio Armani Milan"
"KALNIETIS, MANTAS",26,"504:46",1.77,1.17,117.96,103.34,-14.62,0.54,20.5,1.63,12.88,7.08,161,85,76,42,28,2.17,25.79,52.17,45.5,"2016-2017","EA7 Emporio Armani Milan"
"MACVAN, MILAN",28,"626:46",1.29,1.25,119.58,115.02,-4.56,0.57,17.87,8.25,15.96,11.99,187,131,56,70,21,1.05,11.06,54.28,52.92,"2016-2017","EA7 Emporio Armani Milan"
