"Teams","Possessions","Pace","TS","PPP","DRTG","ORTG","NRTG","eFG","FGM2P","FGM3P","FGA"
"Anadolu Efes IstanbulIST",2274,74.6,"54.79%",1.11,110.5,110.9,0.4,"50.93%","50.26%","34.83%",2040
"Baskonia Vitoria GasteizBAS",2223,74.1,"56.57%",1.1,106.9,110,3.1,"52.88%","53.26%","34.80%",1924
"Brose BambergBAM",2145,70.9,"60.12%",1.12,113.3,111.7,-1.6,"56.94%","54.83%","40.17%",1795
"Crvena Zvezda mts BelgradeRED",2138,71,"53.77%",1.03,103.1,103.3,0.2,"49.95%","50.08%","33.12%",1832
"CSKA MoscowCSK",2253,74.5,"62.33%",1.16,105.9,116.2,10.3,"57.45%","55.51%","40.58%",1811
"Darussafaka Dogus IstanbulDAR",2136,70.9,"54.90%",1.11,110.8,111.1,0.3,"51.29%","48.34%","37.36%",1905
"EA7 Emporio Armani MilanMIL",2233,74.1,"56.43%",1.08,117.4,108.5,-8.9,"52.46%","52.46%","34.98%",1889
"FC Barcelona LassaBAR",2101,69.7,"55.19%",1.02,106.7,101.9,-4.8,"51.90%","48.48%","37.85%",1739
"Fenerbahce IstanbulULK",2087,69,"57.54%",1.1,107.5,109.5,2,"53.79%","51.60%","38.30%",1755
"Galatasaray Odeabank IstanbulGAL",2140,71.3,"56.92%",1.1,115.7,109.6,-6.1,"54.45%","50.88%","40.47%",1877
"Maccabi FOX Tel AvivTEL",2209,73.3,"57.25%",1.06,113.6,106,-7.6,"54.27%","51.91%","39.23%",1828
"Olympiacos PiraeusOLY",2144,71.2,"55.39%",1.09,103.9,109,5.1,"51.43%","52.16%","33.48%",1855
"Panathinaikos Superfoods AthensPAN",2143,70,"55.31%",1.09,104.2,108.5,4.3,"52.21%","50.92%","35.98%",1878
"Real MadridMAD",2189,73,"60.01%",1.18,107.5,118.1,10.6,"56.68%","56.97%","37.52%",1924
"Unics KazanUNK",2105,69.9,"56.16%",1.09,115.2,109.2,-6,"51.66%","50.04%","36.67%",1808
"Zalgiris KaunasZAL",2091,69.7,"58.33%",1.12,114.3,112.4,-1.9,"54.26%","51.96%","38.93%",1786
