"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1624,398,686,198,488,234,277,"3800:00",207,177,1457,407,377
"AX Armani Exchange Olimpia MilanMIL",1281,268,536,153,405,286,351,"3000:00",177,175,1276,361,237
"Buducnost VOLI PodgoricaBUD",1138,284,594,135,319,165,225,"3000:00",171,151,1204,362,234
"CSKA MoscowCSK",1560,365,733,152,367,374,452,"3625:00",215,213,1420,390,287
"Darussafaka Tekfen IstanbulDAR",1166,320,632,105,313,211,278,"3000:00",187,175,1232,370,267
"FC Barcelona LassaBAR",1357,357,669,139,361,226,312,"3400:00",220,203,1250,358,295
"FC Bayern MunichMUN",1220,326,583,119,318,211,275,"3050:00",165,132,1192,345,284
"Fenerbahce Beko IstanbulULK",1593,399,669,178,426,261,325,"3800:00",209,138,1433,392,354
"Herbalife Gran CanariaCAN",1224,301,568,132,365,226,306,"3025:00",186,134,1280,379,274
"Khimki Moscow RegionKHI",1164,256,474,151,433,199,265,"3025:00",179,141,1196,374,274
"KIROLBET Baskonia Vitoria-GasteizBAS",1406,358,673,141,397,267,341,"3400:00",217,200,1299,388,329
"Maccabi FOX Tel AvivTEL",1219,325,588,128,376,185,259,"3000:00",172,170,1132,361,246
"Olympiacos PiraeusOLY",1234,333,599,110,307,238,327,"3025:00",189,156,1160,333,283
"Panathinaikos OPAP AthensPAN",1339,404,733,100,313,231,336,"3225:00",164,182,1253,395,283
"Real MadridMAD",1532,380,643,170,442,262,331,"3400:00",181,162,1325,393,365
"Zalgiris KaunasZAL",1366,368,665,115,280,285,363,"3425:00",230,157,1340,325,315
