"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST"
"Anadolu Efes IstanbulIST",1283,328,649,133,348,228,312,"3050:00",183,180,1231,375,298
"Baskonia Vitoria GasteizBAS",1200,333,619,116,367,186,250,"3000:00",196,184,1113,356,284
"Brose BambergBAM",1292,318,556,148,358,212,259,"3050:00",175,113,1276,342,286
"Crvena Zvezda mts BelgradeRED",1131,315,617,102,290,195,269,"3025:00",193,137,1035,377,261
"CSKA MoscowCSK",1379,324,569,140,329,311,370,"3025:00",215,150,1194,297,314
"Darussafaka Dogus IstanbulDAR",1162,280,570,136,352,194,271,"3000:00",184,166,1091,365,228
"EA7 Emporio Armani MilanMIL",1231,342,652,106,318,229,304,"3000:00",205,189,1281,359,261
"FC Barcelona LassaBAR",1118,250,504,142,368,192,258,"3000:00",204,143,1125,347,275
"Fenerbahce IstanbulULK",1159,289,547,125,320,206,270,"3025:00",189,134,1097,332,274
"Galatasaray Odeabank IstanbulGAL",1250,319,610,145,346,177,236,"3000:00",167,154,1265,354,321
"Maccabi FOX Tel AvivTEL",1165,310,582,122,306,179,253,"3000:00",207,122,1225,361,275
"Olympiacos PiraeusOLY",1170,316,604,98,337,244,330,"3000:00",193,192,1050,358,221
"Panathinaikos Superfoods AthensPAN",1209,290,556,139,395,212,307,"3075:00",155,154,1088,403,217
"Real MadridMAD",1338,314,554,163,407,221,289,"3000:00",183,152,1164,324,319
"Unics KazanUNK",1177,314,605,113,301,210,255,"3025:00",184,147,1192,336,257
"Zalgiris KaunasZAL",1131,303,583,115,321,180,230,"3000:00",213,176,1174,328,292
