"Player","G","GS","Min","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","O","D","T","As","St","To","Fv","Ag","Cm","Rv","PIR","Season","Team"
"BRENNEKE, LORENZ","2","0","1:26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2019-2020","ALBA Berlin"
"CAVANAUGH, TYLER","19","1","278:21","121","22","58","15","42","32","33","17","45","62","18","10","9","4","8","48","36","122","2019-2020","ALBA Berlin"
"DELOW, MALTE","6","0","25:11","7","2","3","1","2","0","0","0","0","0","1","1","0","0","0","2","0","5","2019-2020","ALBA Berlin"
"ERIKSSON, MARCUS","22","15","543:04","247","28","60","55","118","26","32","9","34","43","19","15","17","5","2","24","51","236","2019-2020","ALBA Berlin"
"GIEDRAITIS, ROKAS","25","21","674:19","344","63","115","51","128","65","77","29","70","99","36","35","28","2","7","47","74","367","2019-2020","ALBA Berlin"
"GIFFEY, NIELS","28","8","528:12","246","55","112","32","67","40","47","21","42","63","35","23","29","8","8","69","43","213","2019-2020","ALBA Berlin"
"HERMANNSSON, MARTIN","27","20","695:48","294","82","185","29","86","43","50","9","34","43","130","13","73","1","13","58","59","229","2019-2020","ALBA Berlin"
"MASON, MAKAI","20","0","219:48","125","23","48","15","34","34","37","1","12","13","22","8","18","0","1","26","31","107","2019-2020","ALBA Berlin"
"MATTISSECK, JONAS","28","7","384:22","75","6","17","18","53","9","11","13","16","29","21","11","21","0","5","43","31","50","2019-2020","ALBA Berlin"
"NIKIC, KRESIMIR","11","2","119:11","29","13","26","0","1","3","8","6","16","22","6","6","10","4","2","14","11","33","2019-2020","ALBA Berlin"
"NNOKO, LANDRY","28","24","620:14","244","95","157","0","0","54","79","58","105","163","22","8","56","19","6","67","77","317","2019-2020","ALBA Berlin"
"OGBE, KENNETH","18","3","155:07","44","12","26","5","13","5","6","4","18","22","5","5","10","0","2","15","9","35","2019-2020","ALBA Berlin"
"RADOSAVLJEVIC, BOGDAN","3","0","5:48","2","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2019-2020","ALBA Berlin"
"SCHNEIDER, TIM","16","0","189:31","60","6","13","14","38","6","8","7","13","20","5","5","8","2","4","25","7","29","2019-2020","ALBA Berlin"
"SIKMA, LUKE","28","27","721:43","271","71","137","29","67","42","60","61","120","181","127","30","46","15","6","65","79","464","2019-2020","ALBA Berlin"
"SIVA, PEYTON","17","9","360:14","158","22","53","20","73","54","63","4","21","25","88","16","39","0","2","42","56","167","2019-2020","ALBA Berlin"
"THIEMANN, JOHANNES","16","3","227:41","98","28","51","7","13","21","28","22","28","50","12","5","9","0","5","33","31","113","2019-2020","ALBA Berlin"
"ANDERSON, JAMES","28","16","400:12","98","22","40","14","44","12","16","21","69","90","9","8","9","4","2","23","21","144","2019-2020","Anadolu Efes Istanbul"
"BALBAY, DOGUS","25","2","197:21","31","8","14","5","13","0","1","6","18","24","22","12","6","1","0","23","6","52","2019-2020","Anadolu Efes Istanbul"
"BEAUBOIS, RODRIGUE","26","15","551:56","248","48","92","43","108","23","28","3","39","42","44","24","27","7","11","48","41","206","2019-2020","Anadolu Efes Istanbul"
"DUNSTON, BRYANT","9","5","231:33","91","38","51","0","3","15","24","13","35","48","16","7","8","11","3","22","21","136","2019-2020","Anadolu Efes Istanbul"
"GECIM, TOLGA","9","1","37:25","3","0","6","1","10","0","0","3","2","5","6","0","2","0","0","2","1","-4","2019-2020","Anadolu Efes Istanbul"
"ILYASOGLU, OMERCAN","1","0","3:09","0","0","0","0","1","0","0","0","1","1","0","0","1","0","0","0","0","-1","2019-2020","Anadolu Efes Istanbul"
"LARKIN, SHANE","25","15","748:37","555","80","144","88","173","131","145","12","66","78","102","33","54","1","13","33","138","644","2019-2020","Anadolu Efes Istanbul"
"MICIC, VASILIJE","24","22","733:55","347","69","128","52","131","53","55","10","50","60","139","30","75","1","9","61","93","385","2019-2020","Anadolu Efes Istanbul"
"MOERMAN, ADRIEN","12","0","170:07","62","20","30","5","13","7","10","13","24","37","5","6","11","0","0","15","15","78","2019-2020","Anadolu Efes Istanbul"
"PETERS, ALEC","27","6","370:04","113","23","34","15","36","22","26","12","45","57","14","9","10","2","3","41","30","135","2019-2020","Anadolu Efes Istanbul"
"PLEISS, TIBOR","28","22","524:58","267","115","178","4","16","25","27","46","73","119","11","14","26","14","6","40","41","317","2019-2020","Anadolu Efes Istanbul"
"SANLI, SERTAC","21","1","244:56","146","57","84","2","7","26","33","18","28","46","7","4","17","9","6","45","26","131","2019-2020","Anadolu Efes Istanbul"
"SAYBIR, YIGITCAN","1","0","1:57","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","-2","2019-2020","Anadolu Efes Istanbul"
"SIMON, KRUNOSLAV","27","13","629:56","239","55","108","37","84","18","21","23","81","104","77","16","36","5","5","35","31","293","2019-2020","Anadolu Efes Istanbul"
"SINGLETON, CHRIS","28","22","718:22","217","29","76","37","82","48","55","24","99","123","28","35","19","12","11","67","74","293","2019-2020","Anadolu Efes Istanbul"
"TUNCER, BUGRAHAN","9","0","60:32","26","3","7","6","13","2","3","1","3","4","14","4","4","0","0","9","4","27","2019-2020","Anadolu Efes Istanbul"
"ANDERSON, JAMES","37","20","548:43","179","25","57","35","82","24","29","16","59","75","25","9","13","2","2","47","30","174","2018-2019","Anadolu Efes Istanbul"
"BALBAY, DOGUS","37","6","387:27","73","15","35","14","23","1","1","19","33","52","49","16","14","7","5","67","16","98","2018-2019","Anadolu Efes Istanbul"
"BEAUBOIS, RODRIGUE","35","19","718:08","333","67","138","56","140","31","34","6","40","46","80","10","37","12","6","57","50","273","2018-2019","Anadolu Efes Istanbul"
"BIRSEN, METECAN","9","1","35:33","13","5","7","1","3","0","0","1","3","4","3","0","1","1","1","3","1","13","2018-2019","Anadolu Efes Istanbul"
"DUNSTON, BRYANT","36","32","939:00","319","119","183","2","6","75","107","55","121","176","48","29","29","43","9","107","116","486","2018-2019","Anadolu Efes Istanbul"
"LARKIN, SHANE","35","12","769:03","439","72","130","66","147","97","112","12","65","77","110","30","64","3","9","55","114","491","2018-2019","Anadolu Efes Istanbul"
"MICIC, VASILIJE","37","30","1043:30","459","101","174","66","178","59","72","9","72","81","204","38","105","2","10","100","143","514","2018-2019","Anadolu Efes Istanbul"
"MOERMAN, ADRIEN","37","36","1075:30","443","122","206","55","137","34","39","47","177","224","56","41","41","11","6","70","76","563","2018-2019","Anadolu Efes Istanbul"
"MOTUM, BROCK","31","1","359:14","203","56","104","22","50","25","32","22","34","56","11","3","13","2","13","21","30","175","2018-2019","Anadolu Efes Istanbul"
"PLEISS, TIBOR","37","5","525:32","300","117","174","10","30","36","41","42","96","138","14","14","31","19","9","58","50","355","2018-2019","Anadolu Efes Istanbul"
"SANLI, SERTAC","9","0","31:52","18","7","8","0","1","4","5","2","2","4","0","0","1","0","0","5","3","16","2018-2019","Anadolu Efes Istanbul"
"SIMON, KRUNOSLAV","37","22","916:37","349","61","103","56","139","59","70","22","117","139","102","33","49","7","3","73","72","441","2018-2019","Anadolu Efes Istanbul"
"TUNCER, BUGRAHAN","11","1","49:51","10","2","6","2","13","0","0","1","6","7","10","5","5","0","0","6","1","7","2018-2019","Anadolu Efes Istanbul"
"ADAMS, JOSH","16","8","269:04","112","21","37","15","39","25","30","5","20","25","32","7","18","2","4","36","30","105","2017-2018","Anadolu Efes Istanbul"
"BALBAY, DOGUS","16","5","264:07","33","13","40","1","10","4","8","16","20","36","29","20","7","4","3","33","12","51","2017-2018","Anadolu Efes Istanbul"
"BATUK, BIRKAN","23","5","241:08","33","3","5","8","28","3","6","6","14","20","5","4","1","2","1","41","9","5","2017-2018","Anadolu Efes Istanbul"
"BITIM, ONURALP","4","0","35:17","10","1","3","2","2","2","2","1","3","4","2","0","5","0","0","1","2","10","2017-2018","Anadolu Efes Istanbul"
"BROWN, DERRICK","19","6","390:15","136","43","106","11","29","17","20","15","28","43","30","11","16","3","4","36","24","107","2017-2018","Anadolu Efes Istanbul"
"DEMIR, BERK","5","0","34:04","2","1","3","0","0","0","0","1","8","9","3","0","1","0","0","5","3","9","2017-2018","Anadolu Efes Istanbul"
