"Teams","Pts","FGM2","FGA2","FGM3","FGA3","FTM","FTA","Tmp","TO","OR","OppPts","OppDefReb","AST","OppOffReb","OppFGM2","OppFGA2","OppFGM3","OppFGA3","OppFTM","OppFTA","OppMP","OppTO","BLK","DefReb","FLC","STL"
"Anadolu Efes IstanbulIST",2321,642,1286,213,622,398,521,"6000:00",331,349,2530,733,462,280,646,1165,285,676,383,484,"6000:00",348,91,643,569,176
"AX Armani Exchange Olimpia MilanMIL",2450,596,1134,259,705,481,617,"6100:00",319,286,2575,730,482,302,696,1279,247,601,442,566,"6100:00",321,76,668,641,156
"Brose BambergBAM",2309,556,1101,247,644,456,571,"6000:00",365,255,2446,712,485,280,604,1122,258,674,464,586,"6000:00",321,49,689,654,145
"Crvena Zvezda mts BelgradeRED",2333,579,1171,252,738,419,558,"6000:00",323,366,2515,744,473,297,628,1132,259,631,482,615,"6000:00",376,71,611,695,203
"CSKA MoscowCSK",2685,700,1241,271,634,472,575,"6025:00",343,297,2389,634,546,328,611,1185,238,638,453,612,"6025:00",420,91,684,663,230
"FC Barcelona LassaBAR",2456,640,1165,278,727,342,462,"6000:00",365,288,2404,708,615,327,635,1209,242,707,408,559,"6000:00",329,67,755,639,182
"Fenerbahce Dogus IstanbulULK",2421,610,1140,256,604,433,548,"6100:00",356,289,2255,604,583,317,562,1094,241,691,408,537,"6100:00",344,87,687,624,181
"Khimki Moscow RegionKHI",2338,541,1031,292,818,380,510,"6000:00",354,312,2352,738,546,354,531,1050,267,713,489,651,"6000:00",401,90,665,664,216
"KIROLBET Baskonia Vitoria GasteizBAS",2487,636,1138,285,715,360,480,"6000:00",378,291,2373,664,594,287,598,1127,257,714,406,529,"6000:00",361,93,729,604,181
"Maccabi FOX Tel AvivTEL",2440,720,1399,200,562,400,566,"6000:00",340,360,2530,750,524,338,626,1212,292,762,402,524,"6000:00",335,109,735,582,198
"Olympiacos PiraeusOLY",2335,573,1100,228,683,505,668,"6125:00",384,316,2302,700,485,312,655,1290,203,616,383,524,"6125:00",313,54,773,621,161
"Panathinaikos Superfoods AthensPAN",2368,589,1092,267,759,389,573,"6075:00",345,314,2325,741,490,319,618,1192,211,591,456,611,"6075:00",396,73,673,678,217
"Real MadridMAD",2587,615,1100,295,783,472,597,"6025:00",337,310,2395,693,584,326,587,1188,265,719,426,547,"6025:00",360,101,757,603,205
"Unicaja MalagaMAL",2387,618,1209,248,709,407,544,"6075:00",356,385,2467,687,544,308,612,1093,307,786,322,426,"6075:00",354,63,670,540,193
"Valencia BasketPAM",2360,525,1032,294,739,428,517,"6050:00",346,269,2449,686,520,293,672,1198,250,672,355,466,"6050:00",316,64,683,564,152
"Zalgiris KaunasZAL",2446,675,1243,211,500,463,597,"6075:00",402,293,2416,603,588,312,534,1046,274,751,526,667,"6075:00",349,54,705,708,177
